               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.016236,           0.0081675,                   0,             0.98189,             0.98034,             0.98946,             0.94785,           0.0057182,           0.0025414,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.015955,           0.0080968,                   0,             0.98278,             0.97965,             0.98946,             0.94909,           0.0057511,           0.0025327,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.016021,           0.0080494,                   0,             0.97813,             0.98417,             0.98952,             0.94825,           0.0057659,           0.0025296,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.015611,           0.0080002,                   0,             0.98407,             0.97748,             0.98958,             0.94871,           0.0057309,           0.0025135,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.015386,           0.0079339,                   0,             0.98408,             0.97795,             0.98968,             0.94989,           0.0056993,           0.0025039,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.015509,           0.0080934,                   0,               0.979,             0.98387,             0.98963,             0.94941,           0.0056598,           0.0024976,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.015382,           0.0078765,                   0,             0.97972,             0.98282,             0.98972,              0.9494,           0.0056515,           0.0024969,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.015121,           0.0078535,                   0,             0.98007,             0.98267,             0.98976,             0.95048,           0.0056288,           0.0024932,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.015097,           0.0078229,                   0,             0.98045,             0.98283,             0.98981,             0.95077,           0.0056269,           0.0024883,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.014842,           0.0077873,                   0,             0.97973,             0.98322,             0.98986,             0.95084,           0.0056105,           0.0024792,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.014755,            0.007735,                   0,             0.97899,             0.98306,             0.98985,             0.95044,           0.0056116,           0.0024764,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.014952,           0.0077058,                   0,             0.97972,             0.98296,             0.98982,                0.95,           0.0055855,           0.0024655,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.014984,           0.0077016,                   0,             0.97974,              0.9838,             0.98994,             0.95058,             0.00558,           0.0024654,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.015067,           0.0076093,                   0,             0.97993,             0.98267,             0.98998,             0.95118,           0.0055718,           0.0024624,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.014807,           0.0077116,                   0,             0.98045,             0.98249,             0.99013,             0.95053,           0.0055614,           0.0024598,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.014457,           0.0075139,                   0,             0.98045,             0.98273,             0.99019,             0.95057,           0.0055477,           0.0024574,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.014374,           0.0075484,                   0,             0.98046,             0.98303,             0.99019,             0.95079,           0.0055385,           0.0024533,                   0,            0.001486,            0.001486,            0.001486
                  88,             0.01463,           0.0075206,                   0,             0.98085,             0.98267,             0.99021,             0.95169,            0.005544,           0.0024517,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.014445,           0.0074912,                   0,             0.98265,             0.98181,             0.99023,             0.95124,           0.0055423,           0.0024466,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.014088,           0.0073678,                   0,             0.98266,             0.98202,             0.99034,             0.95126,           0.0055463,           0.0024448,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.014019,            0.007465,                   0,             0.98282,             0.98267,             0.99034,             0.95156,           0.0055449,           0.0024406,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.014057,           0.0073293,                   0,             0.98286,             0.98267,             0.99041,             0.95121,           0.0055397,           0.0024374,                   0,            0.000991,            0.000991,            0.000991
                  93,             0.01388,            0.007284,                   0,              0.9828,             0.98267,             0.99043,             0.95131,           0.0055307,            0.002434,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.013747,           0.0072541,                   0,             0.98313,             0.98267,             0.99047,             0.95106,           0.0055235,           0.0024332,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.013556,           0.0072094,                   0,              0.9833,             0.98267,             0.99054,             0.94983,           0.0055123,           0.0024309,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.013659,           0.0071318,                   0,             0.98328,             0.98267,             0.99051,             0.95147,           0.0055029,           0.0024295,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.013373,           0.0071376,                   0,             0.98341,             0.98249,             0.99063,             0.95179,           0.0054954,           0.0024281,                   0,            0.000496,            0.000496,            0.000496
                  98,              0.0134,           0.0071519,                   0,              0.9834,              0.9824,             0.99067,             0.95182,           0.0054887,            0.002425,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.013115,           0.0071698,                   0,             0.98349,             0.98191,             0.99072,             0.95219,           0.0054793,           0.0024227,                   0,            0.000298,            0.000298,            0.000298
